Time [s],Packet ID,MOSI,MISO
4.32072320833333,377,e (0x65),e (0x65)
4.32102570833333,378,g (0x67),g (0x67)
4.32132820833333,379,i (0x69),i (0x69)
4.32163075,380,k (0x6B),k (0x6B)
4.32193325,381,m (0x6D),m (0x6D)
4.32223575,382,o (0x6F),o (0x6F)
4.32253825,383,q (0x71),q (0x71)
4.32284075,384,s (0x73),s (0x73)
4.32314325,385,u (0x75),u (0x75)
4.32344575,386,w (0x77),w (0x77)
4.32374825,387,y (0x79),y (0x79)
4.32405075,388,{ (0x7B),{ (0x7B)
4.32435316666667,389,A (0x41),A (0x41)
4.32465566666667,390,C (0x43),C (0x43)
4.32495816666667,391,E (0x45),E (0x45)
4.32526066666667,392,G (0x47),G (0x47)
4.32556316666667,393,I (0x49),I (0x49)
4.32586570833333,394,K (0x4B),K (0x4B)
4.32616820833333,395,M (0x4D),M (0x4D)
4.32647070833333,396,O (0x4F),O (0x4F)
4.32677320833333,397,Q (0x51),Q (0x51)
4.32707570833333,398,S (0x53),S (0x53)
4.32737820833333,399,U (0x55),U (0x55)
4.32768070833333,400,W (0x57),W (0x57)
4.32798320833333,401,Y (0x59),Y (0x59)
4.32828570833333,402,[ (0x5B),[ (0x5B)
4.32858820833333,403,] (0x5D),] (0x5D)
4.32889075,404,_ (0x5F),_ (0x5F)
4.32919325,405,a (0x61),a (0x61)
4.32949575,406,c (0x63),c (0x63)
4.32979825,407,e (0x65),e (0x65)
4.33010075,408,g (0x67),g (0x67)
4.33040325,409,i (0x69),i (0x69)
4.33070575,410,k (0x6B),k (0x6B)
4.33100825,411,m (0x6D),m (0x6D)
4.33131075,412,o (0x6F),o (0x6F)
4.33161329166667,413,q (0x71),q (0x71)
4.33191579166667,414,s (0x73),s (0x73)
4.33221829166667,415,u (0x75),u (0x75)
4.33252079166667,416,w (0x77),w (0x77)
4.33282329166667,417,y (0x79),y (0x79)
4.33312579166667,418,{ (0x7B),{ (0x7B)
4.33342820833333,419,A (0x41),A (0x41)
4.33373070833333,420,C (0x43),C (0x43)
4.33403320833333,421,E (0x45),E (0x45)
4.33433570833333,422,G (0x47),G (0x47)
4.33463820833333,423,I (0x49),I (0x49)
4.33494070833333,424,K (0x4B),K (0x4B)
4.33524320833333,425,M (0x4D),M (0x4D)
4.33554570833333,426,O (0x4F),O (0x4F)
4.33584825,427,Q (0x51),Q (0x51)
4.33615075,428,S (0x53),S (0x53)
